"","id","age","phase","block","trial","stimulus","corr"
"1","41038","M48","test","1","1","Fish",0
"2","41038","M48","test","1","2","Deer",1
"3","41038","M48","test","1","3","Duck",1
"4","41038","M48","test","1","4","Deer",1
"5","41038","M48","test","1","5","Fish",1
"6","41038","M48","test","1","6","Duck",1
"7","41038","M48","test","2","7","Fish",1
"8","41038","M48","test","2","8","Deer",1
"9","41038","M48","test","2","9","Duck",1
"10","41038","M48","test","2","10","Deer",1
"11","41038","M48","test","2","11","Fish",1
"12","41038","M48","test","2","12","Duck",1
"13","41038","M48","test","3","13","Deer",0
"14","41038","M48","test","3","14","Deer",0
"15","41038","M48","test","3","15","Fish",1
"16","41038","M48","test","3","16","Duck",1
"17","41038","M48","test","3","17","Fish",1
"18","41038","M48","test","3","18","Duck",1
"19","41038","M48","test","4","19","Duck",1
"20","41038","M48","test","4","20","Fish",1
"21","41038","M48","test","4","21","Duck",1
"22","41038","M48","test","4","22","Deer",0
"23","41038","M48","test","4","23","Deer",0
"24","41038","M48","test","4","24","Fish",0
"25","41038","M48","test","5","25","Duck",0
"26","41038","M48","test","5","26","Fish",0
"27","41038","M48","test","5","27","Deer",0
"28","41038","M48","test","5","28","Duck",0
"29","41038","M48","test","5","29","Deer",0
"30","41038","M48","test","5","30","Fish",0
"31","43543","M48","test","1","1","Duck",0
"32","43543","M48","test","1","2","Fish",1
"33","43543","M48","test","1","3","Deer",1
"34","43543","M48","test","1","4","Duck",1
"35","43543","M48","test","1","5","Deer",0
"36","43543","M48","test","1","6","Fish",1
"37","43543","M48","test","2","7","Duck",1
"38","43543","M48","test","2","8","Fish",1
"39","43543","M48","test","2","9","Deer",0
"40","43543","M48","test","2","10","Duck",0
"41","43543","M48","test","2","11","Deer",0
"42","43543","M48","test","2","12","Fish",1
"43","43543","M48","test","3","13","Duck",0
"44","43543","M48","test","3","14","Fish",1
"45","43543","M48","test","3","15","Deer",0
"46","43543","M48","test","3","16","Duck",0
"47","43543","M48","test","3","17","Deer",0
"48","43543","M48","test","3","18","Fish",0
"49","43543","M48","test","4","19","Duck",0
"50","43543","M48","test","4","20","Fish",1
"51","43543","M48","test","4","21","Deer",1
"52","43543","M48","test","4","22","Fish",1
"53","43543","M48","test","4","23","Duck",0
"54","43543","M48","test","4","24","Deer",0
"55","43543","M48","test","5","25","Fish",1
"56","43543","M48","test","5","26","Deer",0
"57","43543","M48","test","5","27","Duck",0
"58","43543","M48","test","5","28","Deer",0
"59","43543","M48","test","5","29","Fish",0
"60","43543","M48","test","5","30","Duck",0
"61","40778","M48","test","1","1","Fish",1
"62","40778","M48","test","1","2","Deer",1
"63","40778","M48","test","1","3","Fish",1
"64","40778","M48","test","1","4","Duck",1
"65","40778","M48","test","1","5","Duck",1
"66","40778","M48","test","1","6","Deer",1
"67","40778","M48","test","2","7","Fish",1
"68","40778","M48","test","2","8","Deer",1
"69","40778","M48","test","2","9","Duck",0
"70","40778","M48","test","2","10","Fish",1
"71","40778","M48","test","2","11","Duck",0
"72","40778","M48","test","2","12","Deer",1
"73","40778","M48","test","3","13","Duck",0
"74","40778","M48","test","3","14","Deer",0
"75","40778","M48","test","3","15","Duck",0
"76","40778","M48","test","3","16","Fish",1
"77","40778","M48","test","3","17","Deer",0
"78","40778","M48","test","3","18","Fish",1
"79","40778","M48","test","4","19","Deer",0
"80","40778","M48","test","4","20","Fish",1
"81","40778","M48","test","4","21","Deer",0
"82","40778","M48","test","4","22","Duck",0
"83","40778","M48","test","4","23","Fish",1
"84","40778","M48","test","4","24","Duck",1
"85","40778","M48","test","5","25","Fish",1
"86","40778","M48","test","5","26","Deer",1
"87","40778","M48","test","5","27","Fish",1
"88","40778","M48","test","5","28","Duck",0
"89","40778","M48","test","5","29","Duck",0
"90","40778","M48","test","5","30","Deer",1
"91","40915","M48","test","1","1","Duck",0
"92","40915","M48","test","1","2","Fish",0
"93","40915","M48","test","1","3","Duck",0
"94","40915","M48","test","1","4","Deer",1
"95","40915","M48","test","1","5","Deer",1
"96","40915","M48","test","1","6","Fish",1
"97","40915","M48","test","2","7","Duck",1
"98","40915","M48","test","2","8","Fish",0
"99","40915","M48","test","2","9","Duck",0
"100","40915","M48","test","2","10","Deer",1
"101","40915","M48","test","2","11","Deer",1
"102","40915","M48","test","2","12","Fish",1
"103","40915","M48","test","3","13","Deer",1
"104","40915","M48","test","3","14","Fish",0
"105","40915","M48","test","3","15","Deer",1
"106","40915","M48","test","3","16","Duck",0
"107","40915","M48","test","3","17","Duck",1
"108","40915","M48","test","3","18","Fish",1
"109","40915","M48","test","4","19","Duck",1
"110","40915","M48","test","4","20","Fish",0
"111","40915","M48","test","4","21","Deer",1
"112","40915","M48","test","4","22","Fish",1
"113","40915","M48","test","4","23","Duck",1
"114","40915","M48","test","4","24","Deer",1
"115","40915","M48","test","5","25","Duck",0
"116","40915","M48","test","5","26","Fish",1
"117","40915","M48","test","5","27","Duck",0
"118","40915","M48","test","5","28","Deer",0
"119","40915","M48","test","5","29","Deer",1
"120","40915","M48","test","5","30","Fish",1
"121","40705","M48","test","1","1","Duck",1
"122","40705","M48","test","1","2","Fish",1
"123","40705","M48","test","1","3","Deer",1
"124","40705","M48","test","1","4","Fish",1
"125","40705","M48","test","1","5","Duck",1
"126","40705","M48","test","1","6","Deer",1
"127","40705","M48","test","2","7","Duck",1
"128","40705","M48","test","2","8","Fish",1
"129","40705","M48","test","2","9","Deer",1
"130","40705","M48","test","2","10","Fish",1
"131","40705","M48","test","2","11","Duck",1
"132","40705","M48","test","2","12","Deer",1
"133","40705","M48","test","3","13","Duck",1
"134","40705","M48","test","3","14","Deer",0
"135","40705","M48","test","3","15","Deer",1
"136","40705","M48","test","3","16","Fish",0
"137","40705","M48","test","3","17","Fish",1
"138","40705","M48","test","3","18","Duck",1
"139","40705","M48","test","4","19","Fish",1
"140","40705","M48","test","4","20","Duck",1
"141","40705","M48","test","4","21","Deer",1
"142","40705","M48","test","4","22","Duck",1
"143","40705","M48","test","4","23","Deer",1
"144","40705","M48","test","4","24","Fish",1
"145","40705","M48","test","5","25","Duck",0
"146","40705","M48","test","5","26","Fish",1
"147","40705","M48","test","5","27","Deer",1
"148","40705","M48","test","5","28","Fish",1
"149","40705","M48","test","5","29","Duck",0
"150","40705","M48","test","5","30","Deer",1
"151","40873","M48","test","1","1","Deer",1
"152","40873","M48","test","1","2","Fish",1
"153","40873","M48","test","1","3","Deer",1
"154","40873","M48","test","1","4","Duck",1
"155","40873","M48","test","1","5","Fish",1
"156","40873","M48","test","1","6","Duck",1
"157","40873","M48","test","2","7","Deer",1
"158","40873","M48","test","2","8","Fish",1
"159","40873","M48","test","2","9","Deer",1
"160","40873","M48","test","2","10","Duck",0
"161","40873","M48","test","2","11","Fish",1
"162","40873","M48","test","2","12","Duck",1
"163","40873","M48","test","3","13","Deer",1
"164","40873","M48","test","3","14","Fish",1
"165","40873","M48","test","3","15","Duck",1
"166","40873","M48","test","3","16","Duck",1
"167","40873","M48","test","3","17","Fish",1
"168","40873","M48","test","3","18","Deer",0
"169","40873","M48","test","4","19","Duck",1
"170","40873","M48","test","4","20","Deer",0
"171","40873","M48","test","4","21","Duck",1
"172","40873","M48","test","4","22","Fish",1
"173","40873","M48","test","4","23","Deer",0
"174","40873","M48","test","4","24","Fish",1
"175","40873","M48","test","5","25","Deer",1
"176","40873","M48","test","5","26","Fish",1
"177","40873","M48","test","5","27","Deer",1
"178","40873","M48","test","5","28","Duck",1
"179","40873","M48","test","5","29","Fish",1
"180","40873","M48","test","5","30","Duck",1
"181","40673","M48","test","1","1","Duck",1
"182","40673","M48","test","1","2","Fish",1
"183","40673","M48","test","1","3","Duck",1
"184","40673","M48","test","1","4","Deer",1
"185","40673","M48","test","1","5","Deer",1
"186","40673","M48","test","1","6","Fish",1
"187","40673","M48","test","2","7","Duck",1
"188","40673","M48","test","2","8","Deer",1
"189","40673","M48","test","2","9","Fish",1
"190","40673","M48","test","2","10","Fish",1
"191","40673","M48","test","2","11","Deer",1
"192","40673","M48","test","2","12","Duck",1
"193","40673","M48","test","3","13","Fish",1
"194","40673","M48","test","3","14","Deer",1
"195","40673","M48","test","3","15","Duck",1
"196","40673","M48","test","3","16","Deer",1
"197","40673","M48","test","3","17","Fish",1
"198","40673","M48","test","3","18","Duck",1
"199","40673","M48","test","4","19","Deer",1
"200","40673","M48","test","4","20","Fish",1
"201","40673","M48","test","4","21","Deer",1
"202","40673","M48","test","4","22","Duck",1
"203","40673","M48","test","4","23","Duck",1
"204","40673","M48","test","4","24","Fish",1
"205","40673","M48","test","5","25","Deer",1
"206","40673","M48","test","5","26","Duck",1
"207","40673","M48","test","5","27","Fish",1
"208","40673","M48","test","5","28","Duck",1
"209","40673","M48","test","5","29","Deer",1
"210","40673","M48","test","5","30","Fish",1
"211","40322","M48","test","1","1","Fish",1
"212","40322","M48","test","1","2","Duck",1
"213","40322","M48","test","1","3","Duck",1
"214","40322","M48","test","1","4","Deer",1
"215","40322","M48","test","1","5","Fish",1
"216","40322","M48","test","1","6","Deer",1
"217","40322","M48","test","2","7","Fish",1
"218","40322","M48","test","2","8","Duck",1
"219","40322","M48","test","2","9","Deer",1
"220","40322","M48","test","2","10","Duck",1
"221","40322","M48","test","2","11","Deer",1
"222","40322","M48","test","2","12","Fish",1
"223","40322","M48","test","3","13","Duck",0
"224","40322","M48","test","3","14","Fish",0
"225","40322","M48","test","3","15","Deer",0
"226","40322","M48","test","3","16","Duck",0
"227","40322","M48","test","3","17","Deer",1
"228","40322","M48","test","3","18","Fish",1
"229","40322","M48","test","4","19","Duck",0
"230","40322","M48","test","4","20","Deer",0
"231","40322","M48","test","4","21","Deer",0
"232","40322","M48","test","4","22","Fish",1
"233","40322","M48","test","4","23","Fish",1
"234","40322","M48","test","4","24","Duck",0
"235","40322","M48","test","5","25","Fish",1
"236","40322","M48","test","5","26","Duck",1
"237","40322","M48","test","5","27","Deer",1
"238","40322","M48","test","5","28","Duck",1
"239","40322","M48","test","5","29","Deer",1
"240","40322","M48","test","5","30","Fish",1
"241","40901","M48","test","1","1","Deer",0
"242","40901","M48","test","1","2","Duck",0
"243","40901","M48","test","1","3","Duck",0
"244","40901","M48","test","1","4","Fish",1
"245","40901","M48","test","1","5","Deer",0
"246","40901","M48","test","1","6","Fish",1
"247","40901","M48","test","2","7","Deer",0
"248","40901","M48","test","2","8","Duck",1
"249","40901","M48","test","2","9","Duck",1
"250","40901","M48","test","2","10","Fish",1
"251","40901","M48","test","2","11","Deer",1
"252","40901","M48","test","2","12","Fish",1
"253","40901","M48","test","3","13","Duck",0
"254","40901","M48","test","3","14","Deer",1
"255","40901","M48","test","3","15","Fish",1
"256","40901","M48","test","3","16","Deer",1
"257","40901","M48","test","3","17","Fish",1
"258","40901","M48","test","3","18","Duck",0
"259","40901","M48","test","4","19","Duck",0
"260","40901","M48","test","4","20","Fish",1
"261","40901","M48","test","4","21","Deer",1
"262","40901","M48","test","4","22","Duck",1
"263","40901","M48","test","4","23","Fish",1
"264","40901","M48","test","4","24","Deer",1
"265","40901","M48","test","5","25","Fish",0
"266","40901","M48","test","5","26","Deer",1
"267","40901","M48","test","5","27","Duck",1
"268","40901","M48","test","5","28","Fish",0
"269","40901","M48","test","5","29","Duck",1
"270","40901","M48","test","5","30","Deer",1
"271","40906","M48","test","1","1","Deer",1
"272","40906","M48","test","1","2","Fish",1
"273","40906","M48","test","1","3","Deer",1
"274","40906","M48","test","1","4","Duck",1
"275","40906","M48","test","1","5","Duck",1
"276","40906","M48","test","1","6","Fish",1
"277","40906","M48","test","2","7","Deer",1
"278","40906","M48","test","2","8","Fish",1
"279","40906","M48","test","2","9","Deer",1
"280","40906","M48","test","2","10","Duck",1
"281","40906","M48","test","2","11","Duck",1
"282","40906","M48","test","2","12","Fish",1
"283","40906","M48","test","3","13","Duck",1
"284","40906","M48","test","3","14","Fish",1
"285","40906","M48","test","3","15","Duck",1
"286","40906","M48","test","3","16","Deer",1
"287","40906","M48","test","3","17","Deer",1
"288","40906","M48","test","3","18","Fish",1
"289","40906","M48","test","4","19","Duck",1
"290","40906","M48","test","4","20","Deer",1
"291","40906","M48","test","4","21","Fish",1
"292","40906","M48","test","4","22","Deer",1
"293","40906","M48","test","4","23","Fish",1
"294","40906","M48","test","4","24","Duck",1
"295","40906","M48","test","5","25","Deer",1
"296","40906","M48","test","5","26","Fish",0
"297","40906","M48","test","5","27","Deer",1
"298","40906","M48","test","5","28","Duck",1
"299","40906","M48","test","5","29","Duck",1
"300","40906","M48","test","5","30","Fish",1
"301","41089","M48","test","1","1","Duck",1
"302","41089","M48","test","1","2","Deer",1
"303","41089","M48","test","1","3","Fish",1
"304","41089","M48","test","1","4","Fish",1
"305","41089","M48","test","1","5","Deer",1
"306","41089","M48","test","1","6","Duck",1
"307","41089","M48","test","2","7","Fish",1
"308","41089","M48","test","2","8","Duck",0
"309","41089","M48","test","2","9","Deer",0
"310","41089","M48","test","2","10","Duck",0
"311","41089","M48","test","2","11","Deer",0
"312","41089","M48","test","2","12","Fish",1
"313","41089","M48","test","3","13","Duck",1
"314","41089","M48","test","3","14","Fish",1
"315","41089","M48","test","3","15","Deer",1
"316","41089","M48","test","3","16","Fish",1
"317","41089","M48","test","3","17","Duck",1
"318","41089","M48","test","3","18","Deer",1
"319","41089","M48","test","4","19","Duck",1
"320","41089","M48","test","4","20","Fish",1
"321","41089","M48","test","4","21","Deer",1
"322","41089","M48","test","4","22","Duck",1
"323","41089","M48","test","4","23","Deer",1
"324","41089","M48","test","4","24","Fish",1
"325","41089","M48","test","5","25","Duck",1
"326","41089","M48","test","5","26","Deer",0
"327","41089","M48","test","5","27","Deer",0
"328","41089","M48","test","5","28","Fish",0
"329","41089","M48","test","5","29","Fish",1
"330","41089","M48","test","5","30","Duck",1
"331","40747","M48","test","1","1","Deer",1
"332","40747","M48","test","1","2","Fish",1
"333","40747","M48","test","1","3","Duck",1
"334","40747","M48","test","1","4","Duck",1
"335","40747","M48","test","1","5","Fish",1
"336","40747","M48","test","1","6","Deer",1
"337","40747","M48","test","2","7","Duck",0
"338","40747","M48","test","2","8","Fish",1
"339","40747","M48","test","2","9","Deer",0
"340","40747","M48","test","2","10","Duck",0
"341","40747","M48","test","2","11","Fish",1
"342","40747","M48","test","2","12","Deer",1
"343","40747","M48","test","3","13","Duck",1
"344","40747","M48","test","3","14","Fish",1
"345","40747","M48","test","3","15","Deer",1
"346","40747","M48","test","3","16","Fish",1
"347","40747","M48","test","3","17","Duck",1
"348","40747","M48","test","3","18","Deer",1
"349","40747","M48","test","4","19","Fish",1
"350","40747","M48","test","4","20","Deer",1
"351","40747","M48","test","4","21","Fish",1
"352","40747","M48","test","4","22","Duck",1
"353","40747","M48","test","4","23","Duck",1
"354","40747","M48","test","4","24","Deer",1
"355","40747","M48","test","5","25","Deer",0
"356","40747","M48","test","5","26","Fish",1
"357","40747","M48","test","5","27","Duck",0
"358","40747","M48","test","5","28","Duck",1
"359","40747","M48","test","5","29","Fish",1
"360","40747","M48","test","5","30","Deer",0
