"","id","age","phase","block","trial","stimulus","corr"
"361","41874","M72","test","1","1","Fish",1
"362","41874","M72","test","1","2","Deer",1
"363","41874","M72","test","1","3","Duck",1
"364","41874","M72","test","1","4","Deer",1
"365","41874","M72","test","1","5","Fish",1
"366","41874","M72","test","1","6","Duck",1
"367","41874","M72","test","2","7","Fish",1
"368","41874","M72","test","2","8","Deer",1
"369","41874","M72","test","2","9","Duck",1
"370","41874","M72","test","2","10","Deer",1
"371","41874","M72","test","2","11","Fish",1
"372","41874","M72","test","2","12","Duck",1
"373","41874","M72","test","3","13","Deer",1
"374","41874","M72","test","3","14","Deer",1
"375","41874","M72","test","3","15","Fish",1
"376","41874","M72","test","3","16","Duck",1
"377","41874","M72","test","3","17","Fish",1
"378","41874","M72","test","3","18","Duck",1
"379","41874","M72","test","4","19","Duck",1
"380","41874","M72","test","4","20","Fish",1
"381","41874","M72","test","4","21","Duck",1
"382","41874","M72","test","4","22","Deer",1
"383","41874","M72","test","4","23","Deer",1
"384","41874","M72","test","4","24","Fish",1
"385","41874","M72","test","5","25","Duck",1
"386","41874","M72","test","5","26","Fish",1
"387","41874","M72","test","5","27","Deer",1
"388","41874","M72","test","5","28","Duck",1
"389","41874","M72","test","5","29","Deer",1
"390","41874","M72","test","5","30","Fish",1
"391","06282","M72","test","1","1","Duck",1
"392","06282","M72","test","1","2","Fish",1
"393","06282","M72","test","1","3","Deer",1
"394","06282","M72","test","1","4","Duck",1
"395","06282","M72","test","1","5","Deer",1
"396","06282","M72","test","1","6","Fish",1
"397","06282","M72","test","2","7","Duck",1
"398","06282","M72","test","2","8","Fish",1
"399","06282","M72","test","2","9","Deer",1
"400","06282","M72","test","2","10","Duck",1
"401","06282","M72","test","2","11","Deer",1
"402","06282","M72","test","2","12","Fish",1
"403","06282","M72","test","3","13","Duck",1
"404","06282","M72","test","3","14","Fish",1
"405","06282","M72","test","3","15","Deer",0
"406","06282","M72","test","3","16","Duck",1
"407","06282","M72","test","3","17","Deer",1
"408","06282","M72","test","3","18","Fish",1
"409","06282","M72","test","4","19","Duck",1
"410","06282","M72","test","4","20","Fish",1
"411","06282","M72","test","4","21","Deer",1
"412","06282","M72","test","4","22","Fish",0
"413","06282","M72","test","4","23","Duck",1
"414","06282","M72","test","4","24","Deer",1
"415","06282","M72","test","5","25","Fish",1
"416","06282","M72","test","5","26","Deer",0
"417","06282","M72","test","5","27","Duck",1
"418","06282","M72","test","5","28","Deer",1
"419","06282","M72","test","5","29","Fish",1
"420","06282","M72","test","5","30","Duck",1
"421","06302","M72","test","1","1","Fish",1
"422","06302","M72","test","1","2","Deer",1
"423","06302","M72","test","1","3","Fish",1
"424","06302","M72","test","1","4","Duck",1
"425","06302","M72","test","1","5","Duck",1
"426","06302","M72","test","1","6","Deer",1
"427","06302","M72","test","2","7","Fish",1
"428","06302","M72","test","2","8","Deer",1
"429","06302","M72","test","2","9","Duck",1
"430","06302","M72","test","2","10","Fish",1
"431","06302","M72","test","2","11","Duck",1
"432","06302","M72","test","2","12","Deer",1
"433","06302","M72","test","3","13","Duck",1
"434","06302","M72","test","3","14","Deer",1
"435","06302","M72","test","3","15","Duck",1
"436","06302","M72","test","3","16","Fish",1
"437","06302","M72","test","3","17","Deer",1
"438","06302","M72","test","3","18","Fish",1
"439","06302","M72","test","4","19","Deer",1
"440","06302","M72","test","4","20","Fish",1
"441","06302","M72","test","4","21","Deer",1
"442","06302","M72","test","4","22","Duck",1
"443","06302","M72","test","4","23","Fish",1
"444","06302","M72","test","4","24","Duck",1
"445","06302","M72","test","5","25","Fish",1
"446","06302","M72","test","5","26","Deer",1
"447","06302","M72","test","5","27","Fish",1
"448","06302","M72","test","5","28","Duck",1
"449","06302","M72","test","5","29","Duck",1
"450","06302","M72","test","5","30","Deer",1
"451","04322","M72","test","1","1","Duck",1
"452","04322","M72","test","1","2","Fish",1
"453","04322","M72","test","1","3","Deer",1
"454","04322","M72","test","1","4","Duck",1
"455","04322","M72","test","1","5","Deer",1
"456","04322","M72","test","1","6","Fish",1
"457","04322","M72","test","2","7","Duck",1
"458","04322","M72","test","2","8","Fish",1
"459","04322","M72","test","2","9","Duck",1
"460","04322","M72","test","2","10","Deer",1
"461","04322","M72","test","2","11","Deer",1
"462","04322","M72","test","2","12","Fish",1
"463","04322","M72","test","3","13","Deer",1
"464","04322","M72","test","3","14","Fish",1
"465","04322","M72","test","3","15","Deer",1
"466","04322","M72","test","3","16","Duck",1
"467","04322","M72","test","3","17","Duck",1
"468","04322","M72","test","3","18","Fish",1
"469","04322","M72","test","4","19","Duck",1
"470","04322","M72","test","4","20","Fish",1
"471","04322","M72","test","4","21","Deer",1
"472","04322","M72","test","4","22","Fish",1
"473","04322","M72","test","4","23","Duck",1
"474","04322","M72","test","4","24","Deer",1
"475","04322","M72","test","5","25","Duck",1
"476","04322","M72","test","5","26","Fish",1
"477","04322","M72","test","5","27","Duck",1
"478","04322","M72","test","5","28","Deer",0
"479","04322","M72","test","5","29","Deer",0
"480","04322","M72","test","5","30","Fish",1
"481","08232","M72","test","1","1","Duck",1
"482","08232","M72","test","1","2","Fish",1
"483","08232","M72","test","1","3","Deer",1
"484","08232","M72","test","1","4","Fish",1
"485","08232","M72","test","1","5","Duck",1
"486","08232","M72","test","1","6","Deer",1
"487","08232","M72","test","2","7","Duck",1
"488","08232","M72","test","2","8","Fish",1
"489","08232","M72","test","2","9","Deer",1
"490","08232","M72","test","2","10","Fish",1
"491","08232","M72","test","2","11","Duck",1
"492","08232","M72","test","2","12","Deer",1
"493","08232","M72","test","3","13","Duck",1
"494","08232","M72","test","3","14","Deer",1
"495","08232","M72","test","3","15","Deer",1
"496","08232","M72","test","3","16","Fish",1
"497","08232","M72","test","3","17","Fish",1
"498","08232","M72","test","3","18","Duck",1
"499","08232","M72","test","4","19","Fish",0
"500","08232","M72","test","4","20","Duck",1
"501","08232","M72","test","4","21","Deer",1
"502","08232","M72","test","4","22","Duck",1
"503","08232","M72","test","4","23","Deer",1
"504","08232","M72","test","4","24","Fish",1
"505","08232","M72","test","5","25","Duck",1
"506","08232","M72","test","5","26","Fish",1
"507","08232","M72","test","5","27","Deer",1
"508","08232","M72","test","5","28","Fish",1
"509","08232","M72","test","5","29","Duck",1
"510","08232","M72","test","5","30","Deer",1
"511","39534","M72","test","1","1","Deer",0
"512","39534","M72","test","1","2","Fish",1
"513","39534","M72","test","1","3","Deer",1
"514","39534","M72","test","1","4","Duck",1
"515","39534","M72","test","1","5","Fish",1
"516","39534","M72","test","1","6","Duck",1
"517","39534","M72","test","2","7","Deer",0
"518","39534","M72","test","2","8","Fish",1
"519","39534","M72","test","2","9","Deer",1
"520","39534","M72","test","2","10","Duck",1
"521","39534","M72","test","2","11","Fish",1
"522","39534","M72","test","2","12","Duck",1
"523","39534","M72","test","3","13","Deer",0
"524","39534","M72","test","3","14","Fish",1
"525","39534","M72","test","3","15","Duck",1
"526","39534","M72","test","3","16","Duck",1
"527","39534","M72","test","3","17","Fish",1
"528","39534","M72","test","3","18","Deer",1
"529","39534","M72","test","4","19","Duck",1
"530","39534","M72","test","4","20","Deer",1
"531","39534","M72","test","4","21","Duck",1
"532","39534","M72","test","4","22","Fish",1
"533","39534","M72","test","4","23","Deer",1
"534","39534","M72","test","4","24","Fish",1
"535","39534","M72","test","5","25","Deer",0
"536","39534","M72","test","5","26","Fish",0
"537","39534","M72","test","5","27","Deer",0
"538","39534","M72","test","5","28","Duck",0
"539","39534","M72","test","5","29","Fish",0
"540","39534","M72","test","5","30","Duck",0
"541","95202","M72","test","1","1","Duck",1
"542","95202","M72","test","1","2","Fish",1
"543","95202","M72","test","1","3","Duck",1
"544","95202","M72","test","1","4","Deer",1
"545","95202","M72","test","1","5","Deer",1
"546","95202","M72","test","1","6","Fish",1
"547","95202","M72","test","2","7","Duck",1
"548","95202","M72","test","2","8","Deer",1
"549","95202","M72","test","2","9","Fish",1
"550","95202","M72","test","2","10","Fish",1
"551","95202","M72","test","2","11","Deer",1
"552","95202","M72","test","2","12","Duck",1
"553","95202","M72","test","3","13","Fish",1
"554","95202","M72","test","3","14","Deer",1
"555","95202","M72","test","3","15","Duck",1
"556","95202","M72","test","3","16","Deer",1
"557","95202","M72","test","3","17","Fish",1
"558","95202","M72","test","3","18","Duck",1
"559","95202","M72","test","4","19","Deer",1
"560","95202","M72","test","4","20","Fish",1
"561","95202","M72","test","4","21","Deer",1
"562","95202","M72","test","4","22","Duck",1
"563","95202","M72","test","4","23","Duck",1
"564","95202","M72","test","4","24","Fish",1
"565","95202","M72","test","5","25","Deer",1
"566","95202","M72","test","5","26","Duck",1
"567","95202","M72","test","5","27","Fish",1
"568","95202","M72","test","5","28","Duck",1
"569","95202","M72","test","5","29","Deer",0
"570","95202","M72","test","5","30","Fish",1
"571","25691","M72","test","1","1","Fish",1
"572","25691","M72","test","1","2","Duck",1
"573","25691","M72","test","1","3","Duck",1
"574","25691","M72","test","1","4","Deer",1
"575","25691","M72","test","1","5","Fish",1
"576","25691","M72","test","1","6","Deer",1
"577","25691","M72","test","2","7","Fish",1
"578","25691","M72","test","2","8","Duck",1
"579","25691","M72","test","2","9","Deer",1
"580","25691","M72","test","2","10","Duck",1
"581","25691","M72","test","2","11","Deer",1
"582","25691","M72","test","2","12","Fish",1
"583","25691","M72","test","3","13","Duck",1
"584","25691","M72","test","3","14","Fish",1
"585","25691","M72","test","3","15","Deer",0
"586","25691","M72","test","3","16","Duck",0
"587","25691","M72","test","3","17","Deer",0
"588","25691","M72","test","3","18","Fish",1
"589","25691","M72","test","4","19","Duck",0
"590","25691","M72","test","4","20","Deer",1
"591","25691","M72","test","4","21","Fish",1
"592","25691","M72","test","4","22","Deer",1
"593","25691","M72","test","4","23","Fish",0
"594","25691","M72","test","4","24","Duck",0
"595","25691","M72","test","5","25","Fish",0
"596","25691","M72","test","5","26","Duck",0
"597","25691","M72","test","5","27","Deer",0
"598","25691","M72","test","5","28","Duck",0
"599","25691","M72","test","5","29","Deer",0
"600","25691","M72","test","5","30","Fish",1
"601","50000","M72","test","1","1","Deer",1
"602","50000","M72","test","1","2","Duck",1
"603","50000","M72","test","1","3","Duck",1
"604","50000","M72","test","1","4","Fish",1
"605","50000","M72","test","1","5","Deer",1
"606","50000","M72","test","1","6","Fish",1
"607","50000","M72","test","2","7","Deer",1
"608","50000","M72","test","2","8","Duck",1
"609","50000","M72","test","2","9","Duck",1
"610","50000","M72","test","2","10","Fish",1
"611","50000","M72","test","2","11","Deer",1
"612","50000","M72","test","2","12","Fish",1
"613","50000","M72","test","3","13","Duck",1
"614","50000","M72","test","3","14","Deer",1
"615","50000","M72","test","3","15","Fish",1
"616","50000","M72","test","3","16","Deer",1
"617","50000","M72","test","3","17","Fish",1
"618","50000","M72","test","3","18","Duck",1
"619","50000","M72","test","4","19","Duck",1
"620","50000","M72","test","4","20","Fish",1
"621","50000","M72","test","4","21","Deer",1
"622","50000","M72","test","4","22","Duck",1
"623","50000","M72","test","4","23","Fish",1
"624","50000","M72","test","4","24","Deer",1
"625","50000","M72","test","5","25","Fish",1
"626","50000","M72","test","5","26","Deer",1
"627","50000","M72","test","5","27","Duck",1
"628","50000","M72","test","5","28","Fish",1
"629","50000","M72","test","5","29","Duck",1
"630","50000","M72","test","5","30","Deer",1
"631","47778","M72","test","1","1","Deer",1
"632","47778","M72","test","1","2","Fish",1
"633","47778","M72","test","1","3","Deer",1
"634","47778","M72","test","1","4","Duck",1
"635","47778","M72","test","1","5","Duck",1
"636","47778","M72","test","1","6","Fish",1
"637","47778","M72","test","2","7","Deer",1
"638","47778","M72","test","2","8","Fish",1
"639","47778","M72","test","2","9","Deer",1
"640","47778","M72","test","2","10","Duck",1
"641","47778","M72","test","2","11","Duck",1
"642","47778","M72","test","2","12","Fish",1
"643","47778","M72","test","3","13","Duck",0
"644","47778","M72","test","3","14","Fish",1
"645","47778","M72","test","3","15","Duck",1
"646","47778","M72","test","3","16","Deer",0
"647","47778","M72","test","3","17","Deer",1
"648","47778","M72","test","3","18","Fish",1
"649","47778","M72","test","4","19","Duck",1
"650","47778","M72","test","4","20","Deer",1
"651","47778","M72","test","4","21","Fish",1
"652","47778","M72","test","4","22","Deer",1
"653","47778","M72","test","4","23","Fish",1
"654","47778","M72","test","4","24","Duck",1
"655","47778","M72","test","5","25","Deer",0
"656","47778","M72","test","5","26","Fish",1
"657","47778","M72","test","5","27","Deer",0
"658","47778","M72","test","5","28","Duck",0
"659","47778","M72","test","5","29","Duck",1
"660","47778","M72","test","5","30","Fish",1
"661","08762","M72","test","1","1","Duck",1
"662","08762","M72","test","1","2","Deer",1
"663","08762","M72","test","1","3","Fish",1
"664","08762","M72","test","1","4","Fish",1
"665","08762","M72","test","1","5","Deer",1
"666","08762","M72","test","1","6","Duck",1
"667","08762","M72","test","2","7","Fish",1
"668","08762","M72","test","2","8","Duck",1
"669","08762","M72","test","2","9","Deer",1
"670","08762","M72","test","2","10","Duck",1
"671","08762","M72","test","2","11","Deer",1
"672","08762","M72","test","2","12","Fish",1
"673","08762","M72","test","3","13","Duck",1
"674","08762","M72","test","3","14","Fish",1
"675","08762","M72","test","3","15","Deer",1
"676","08762","M72","test","3","16","Fish",1
"677","08762","M72","test","3","17","Duck",1
"678","08762","M72","test","3","18","Deer",1
"679","08762","M72","test","4","19","Duck",1
"680","08762","M72","test","4","20","Fish",1
"681","08762","M72","test","4","21","Deer",1
"682","08762","M72","test","4","22","Duck",1
"683","08762","M72","test","4","23","Deer",1
"684","08762","M72","test","4","24","Fish",1
"685","08762","M72","test","5","25","Duck",1
"686","08762","M72","test","5","26","Deer",1
"687","08762","M72","test","5","27","Deer",1
"688","08762","M72","test","5","28","Fish",1
"689","08762","M72","test","5","29","Fish",1
"690","08762","M72","test","5","30","Duck",1
"691","08952","M72","test","1","1","Deer",1
"692","08952","M72","test","1","2","Fish",1
"693","08952","M72","test","1","3","Duck",1
"694","08952","M72","test","1","4","Duck",1
"695","08952","M72","test","1","5","Fish",1
"696","08952","M72","test","1","6","Deer",1
"697","08952","M72","test","2","7","Duck",1
"698","08952","M72","test","2","8","Fish",1
"699","08952","M72","test","2","9","Deer",1
"700","08952","M72","test","2","10","Duck",0
"701","08952","M72","test","2","11","Fish",1
"702","08952","M72","test","2","12","Deer",1
"703","08952","M72","test","3","13","Duck",1
"704","08952","M72","test","3","14","Fish",1
"705","08952","M72","test","3","15","Deer",1
"706","08952","M72","test","3","16","Fish",1
"707","08952","M72","test","3","17","Duck",1
"708","08952","M72","test","3","18","Deer",1
"709","08952","M72","test","4","19","Fish",1
"710","08952","M72","test","4","20","Deer",1
"711","08952","M72","test","4","21","Fish",1
"712","08952","M72","test","4","22","Duck",1
"713","08952","M72","test","4","23","Duck",1
"714","08952","M72","test","4","24","Deer",1
"715","08952","M72","test","5","25","Deer",0
"716","08952","M72","test","5","26","Fish",1
"717","08952","M72","test","5","27","Duck",1
"718","08952","M72","test","5","28","Duck",1
"719","08952","M72","test","5","29","Fish",1
"720","08952","M72","test","5","30","Deer",1
